,date,open,high,low,close,volume
82,2021-05-09,58866.53,59300.0,56235.66,58240.84,69806.11991000
83,2021-05-08,57315.49,59500.0,56900.0,58862.05,69709.90602800
84,2021-05-07,56393.68,58650.0,55241.63,57314.75,74542.74782900
85,2021-05-06,57436.11,58360.0,55200.0,56393.68,70181.67190800
86,2021-05-05,53205.05,58069.82,52900.0,57436.11,77263.92343900
87,2021-05-04,57169.39,57200.0,53046.69,53200.01,85324.62590300
88,2021-05-03,56578.21,58981.44,56435.0,57169.39,57649.93128600
89,2021-05-02,57797.35,57911.02,56035.25,56578.21,36812.87886300
90,2021-05-01,57697.25,58458.07,56956.14,57800.37,42600.35183600
91,2021-04-30,53555.0,57963.0,53013.01,57694.27,68578.91004500
92,2021-04-29,54846.23,55195.84,52330.94,53555.0,52486.01945500
93,2021-04-28,55011.97,56428.0,53813.16,54846.22,55130.45901500
94,2021-04-27,54001.38,55460.0,53222.0,55011.97,54064.03467500
95,2021-04-26,49066.76,54356.62,48753.44,54001.39,86310.80212400
96,2021-04-25,50047.84,50567.91,46930.0,49066.77,58255.64500400
97,2021-04-24,51110.56,51166.22,48657.14,50047.84,55361.51257300
98,2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.78071900
99,2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.63133700
100,2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.75690900
101,2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.48215100
102,2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.04226700
103,2021-04-18,60006.67,60499.0,50931.3,56150.01,124882.13182400
104,2021-04-17,61334.81,62506.05,59580.91,60006.66,58912.25612800
105,2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.13988400
106,2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034000
107,2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.34399300
108,2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.68874600
109,2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.03711700
110,2021-04-11,59769.13,60699.0,59232.52,60002.43,41156.71539100
111,2021-04-10,58142.55,61500.0,57900.01,59769.13,69906.42411700
112,2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.88491100
113,2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.14701900
114,2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.40565900
115,2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.00072700
